entry_time,exit_time,direction,entry,exit,pnl,bars
2025-12-11 00:34,2025-12-11 00:54,SHORT,4210.645,4210.375,0.07,20
2025-12-11 00:59,2025-12-11 01:07,SHORT,4207.848,4208.175,-0.527,8
2025-12-11 01:44,2025-12-11 01:49,LONG,4214.155,4213.315,-1.04,5
2025-12-11 01:50,2025-12-11 01:54,LONG,4213.745,4212.175,-1.77,4
2025-12-11 02:00,2025-12-11 02:02,LONG,4214.315,4211.755,-2.76,2
2025-12-11 02:13,2025-12-11 02:17,LONG,4212.805,4211.675,-1.33,4
2025-12-11 02:18,2025-12-11 02:27,LONG,4213.015,4212.165,-1.05,9
2025-12-11 02:28,2025-12-11 02:31,LONG,4213.805,4211.875,-2.13,3
2025-12-11 02:36,2025-12-11 02:54,LONG,4214.445,4215.515,0.87,18
2025-12-11 03:01,2025-12-11 03:02,LONG,4216.415,4214.355,-2.26,1
2025-12-11 03:09,2025-12-11 03:15,LONG,4216.935,4215.185,-1.95,6
2025-12-11 03:19,2025-12-11 03:20,LONG,4216.445,4213.595,-3.05,1
2025-12-11 03:23,2025-12-11 03:26,LONG,4215.955,4214.345,-1.81,3
2025-12-11 03:36,2025-12-11 03:47,LONG,4215.625,4216.225,0.4,11
2025-12-11 03:51,2025-12-11 03:55,LONG,4218.335,4216.335,-2.2,4
2025-12-11 04:41,2025-12-11 04:42,SHORT,4214.415,4215.705,-1.49,1
2025-12-11 06:50,2025-12-11 07:06,SHORT,4212.745,4212.965,-0.42,16
2025-12-11 07:56,2025-12-11 08:03,LONG,4219.135,4216.735,-2.6,7
2025-12-11 08:34,2025-12-11 08:36,SHORT,4210.195,4213.275,-3.28,2
2025-12-11 09:08,2025-12-11 09:20,LONG,4223.545,4224.155,0.41,12
2025-12-11 09:22,2025-12-11 09:49,LONG,4227.235,4233.225,5.79,27
2025-12-11 10:06,2025-12-11 10:29,LONG,4234.155,4237.405,3.05,23
2025-12-11 10:33,2025-12-11 10:58,LONG,4243.848,4250.675,6.627,25
2025-12-11 11:05,2025-12-11 11:08,LONG,4256.148,4251.735,-4.613,3
2025-12-11 11:13,2025-12-11 11:30,LONG,4255.298,4256.975,1.477,17
2025-12-11 11:37,2025-12-11 12:16,LONG,4258.435,4274.735,16.1,39
2025-12-11 12:17,2025-12-11 12:24,LONG,4279.048,4275.755,-3.493,7
2025-12-11 12:26,2025-12-11 12:28,LONG,4279.155,4276.085,-3.27,2
2025-12-11 12:44,2025-12-11 12:49,LONG,4276.448,4274.105,-2.543,5
2025-12-11 12:54,2025-12-11 13:23,LONG,4276.225,4281.465,5.04,29
2025-12-11 13:44,2025-12-11 13:49,LONG,4281.115,4278.685,-2.63,5
2025-12-11 14:44,2025-12-11 15:30,SHORT,4273.205,4268.598,4.407,46
2025-12-11 16:18,2025-12-11 16:56,LONG,4274.365,4279.438,4.873,38
2025-12-11 18:02,2025-12-11 18:16,LONG,4282.075,4281.365,-0.91,14
2025-12-11 18:19,2025-12-11 18:20,LONG,4282.555,4281.105,-1.65,1
2025-12-11 18:31,2025-12-11 18:32,LONG,4280.715,4278.995,-1.92,1
2025-12-11 18:50,2025-12-11 18:53,SHORT,4274.675,4276.898,-2.423,3
2025-12-11 18:57,2025-12-11 19:01,SHORT,4273.998,4276.765,-2.967,4
2025-12-11 19:03,2025-12-11 19:13,SHORT,4273.705,4276.045,-2.54,10
2025-12-11 19:32,2025-12-11 20:11,SHORT,4277.055,4271.295,5.56,39
2025-12-11 20:21,2025-12-11 20:42,SHORT,4268.715,4268.385,0.13,21
2025-12-11 20:55,2025-12-11 21:00,SHORT,4268.275,4270.705,-2.63,5
2025-12-11 21:32,2025-12-11 21:42,LONG,4274.675,4273.995,-0.88,10
2025-12-11 22:53,2025-12-11 23:28,SHORT,4271.155,4268.265,2.69,35
2025-12-11 23:29,2025-12-11 23:30,SHORT,4267.965,4268.285,-0.52,1
2025-12-11 23:31,2025-12-11 23:42,SHORT,4267.915,4267.345,0.37,11
2025-12-11 23:47,2025-12-11 23:50,SHORT,4266.785,4267.855,-1.27,3
2025-12-11 23:57,2025-12-12 00:07,SHORT,4267.095,4267.298,-0.403,10
2025-12-12 00:50,2025-12-12 01:05,LONG,4278.095,4277.915,-0.38,15
2025-12-12 01:20,2025-12-12 02:02,LONG,4278.615,4281.625,2.81,42
2025-12-12 02:04,2025-12-12 02:21,LONG,4282.795,4285.335,2.34,17
2025-12-12 02:27,2025-12-12 02:31,LONG,4286.575,4285.205,-1.57,4
2025-12-12 02:32,2025-12-12 02:40,LONG,4286.965,4285.785,-1.38,8
2025-12-12 02:47,2025-12-12 02:52,LONG,4287.555,4285.758,-1.997,5
2025-12-12 03:00,2025-12-12 03:20,LONG,4286.895,4291.288,4.193,20
2025-12-12 03:25,2025-12-12 04:28,LONG,4293.245,4313.365,19.92,63
2025-12-12 04:45,2025-12-12 05:06,LONG,4311.665,4315.245,3.38,21
2025-12-12 05:11,2025-12-12 05:30,LONG,4317.335,4316.455,-1.08,19
2025-12-12 05:35,2025-12-12 05:57,LONG,4322.785,4326.205,3.22,22
2025-12-12 06:00,2025-12-12 06:01,LONG,4329.645,4326.845,-3.0,1
2025-12-12 06:03,2025-12-12 06:23,LONG,4331.005,4334.485,3.28,20
2025-12-12 06:43,2025-12-12 07:06,LONG,4334.525,4334.645,-0.08,23
